date,code,open,high,low,close,volume,amount,turn
2020-01-02,sh.600000,121.95241008,123.61495296,121.7568168,121.95241008,51629079.0,647446166.0,0.1837
2020-01-03,sh.600000,122.93037648,123.51715632,121.95241008,123.2237664,38018810.0,477053357.0,0.1353
2020-01-06,sh.600000,122.44139328,123.7127496,121.46342688,121.85461344,41001193.0,514432551.0,0.1459
2020-01-07,sh.600000,122.34359664,123.2237664,121.85461344,122.2458,28421482.0,355811756.0,0.1011
2020-01-08,sh.600000,121.36563024,121.7568168,119.800884,120.48546048,35240536.0,434980266.0,0.1254
2020-01-09,sh.600000,121.17003696,121.56122352,120.7788504,120.97444368,26151448.0,324168061.0,0.0931
2020-01-10,sh.600000,120.97444368,121.46342688,120.38766384,121.17003696,18321252.0,226580302.0,0.0652
2020-01-13,sh.600000,121.2678336,121.36563024,120.38766384,121.36563024,20715566.0,255982380.0,0.0737
2020-01-14,sh.600000,121.2678336,124.10393616,121.17003696,121.56122352,29994561.0,374971640.0,0.1067
2020-01-15,sh.600000,121.36563024,121.7568168,119.800884,119.800884,31897217.0,392531149.0,0.1135
2020-01-16,sh.600000,120.09427392,120.38766384,118.92071424,119.3119008,22454876.0,274130148.0,0.0799
2020-01-17,sh.600000,119.50749408,120.19207056,118.92071424,119.60529072,17593111.0,215028083.0,0.0626
2020-01-20,sh.600000,119.89868064,119.99647728,119.21410416,119.800884,23734609.0,290296136.0,0.0845
2020-01-21,sh.600000,119.3119008,119.800884,117.74715456,118.13834112,31787474.0,384580844.0,0.1131
2020-01-22,sh.600000,114.4220688,115.79122176,113.9330856,115.10664528,78133556.0,917203481.0,0.278
2020-01-23,sh.600000,114.911052,114.911052,110.70579648,110.9991864,76534796.0,879151046.0,0.2723
2020-02-03,sh.600000,99.94816608,104.54460816,99.94816608,102.39308208,95367382.0,997686058.0,0.3393
2020-02-04,sh.600000,102.78426864,105.03359136,102.49087872,104.25121824,66783767.0,710434836.0,0.2376
2020-02-05,sh.600000,104.54460816,105.42477792,103.46884512,104.6424048,45046658.0,481639081.0,0.1603
2020-02-06,sh.600000,105.71816784,106.20715104,104.1534216,105.52257456,38023801.0,408101901.0,0.1353
2020-02-07,sh.600000,104.93579472,106.69613424,104.34901488,106.20715104,31896956.0,342581621.0,0.1135
2020-02-10,sh.600000,105.22918464,106.01155776,104.74020144,105.32698128,34032121.0,366391170.0,0.1211
2020-02-11,sh.600000,105.81596448,107.0873208,105.42477792,106.20715104,34856302.0,378583345.0,0.124
2020-02-12,sh.600000,106.01155776,106.40274432,105.22918464,106.20715104,26313927.0,284693716.0,0.0936
2020-02-13,sh.600000,105.81596448,106.40274432,105.22918464,105.22918464,22630613.0,244794981.0,0.0805
2020-02-14,sh.600000,105.22918464,106.40274432,105.03359136,106.20715104,22360549.0,242102421.0,0.0796
2020-02-17,sh.600000,106.40274432,109.63003344,106.20715104,109.33664352,41343320.0,457641227.0,0.1471
2020-02-18,sh.600000,108.45647376,109.33664352,107.96749056,108.16308384,30162703.0,334474238.0,0.1073
2020-02-19,sh.600000,108.35867712,109.92342336,107.96749056,108.65206704,25100157.0,279375283.0,0.0893
2020-02-20,sh.600000,109.23884688,110.21681328,108.16308384,109.82562672,36656416.0,408938116.0,0.1304
2020-02-21,sh.600000,109.82562672,111.39037296,109.63003344,110.5102032,38949418.0,439706991.0,0.1386
2020-02-24,sh.600000,109.82562672,110.90138976,108.5542704,109.14105024,44738622.0,501186013.0,0.1592
2020-02-25,sh.600000,108.26088048,109.0432536,107.67410064,108.45647376,48324564.0,535241824.0,0.172
2020-02-26,sh.600000,107.67410064,110.80359312,107.67410064,109.5322368,51906287.0,581437742.0,0.1847
2020-02-27,sh.600000,109.5322368,110.5102032,108.84766032,109.63003344,33029824.0,370549707.0,0.1175
2020-02-28,sh.600000,108.65206704,109.33664352,106.1093544,106.1093544,50137988.0,550529618.0,0.1784
2020-03-02,sh.600000,107.0873208,108.5542704,106.79393088,107.96749056,39245056.0,432698824.0,0.1396
2020-03-03,sh.600000,108.84766032,109.82562672,107.96749056,108.16308384,39332460.0,437422565.0,0.14
2020-03-04,sh.600000,107.67410064,108.5542704,107.0873208,107.86969392,34628358.0,381014627.0,0.1232
2020-03-05,sh.600000,108.35867712,110.70579648,107.86969392,110.70579648,73047882.0,819311470.0,0.2599
